time,[raw] acc (e_r),[raw] acc (e_theta),[raw] acc (e_phi),[raw] w (e_r),[raw] w (e_theta),[raw] w (e_phi),[raw] euler (alpha),[raw] euler (beta),[raw] euler (gamma),delta time,acc (e_r),acc (e_theta),acc (e_phi),w (e_r),w (e_theta),w (e_phi),euler (alpha),euler (beta),euler (gamma),vel (e_r),vel (e_theta),vel (e_phi),vel (x),vel (y),vel (z),pos (x),pos (y),pos (z)
1.902,21.788,10.277000000000001,0.11499999999999999,1.5132353680641235,0.7034549550163145,-4.040664111169632,6.21127774199742,6.26363761955725,0.07749261878854824,0.04399999999999982,16.503,22.6745,-2.305,0.5628163238906114,0.4406083696659685,-2.0615916391019624,6.056336137651623,6.277251187722806,0.1303760951239764,5.595875499999999,7.759708874999999,-7.220415625,3.6643718749768914,7.803065680627806,-8.327415624290946,0.9349741975315213,0.3708879595450742,-3.9680649270655506
1.942,16.378,-0.383,-3.805,1.556868599363982,0.5081526117181491,-4.913328737166797,0.11239920382843482,6.250373117242093,0.022863813201125717,0.040000000000000036,18.5605,15.007,-1.7875,1.085586068094213,0.5114687372969383,-3.2230646230728883,6.170349771038153,6.2679573094559355,0.09573130947188899,6.2971455,8.513338875,-7.302265625,5.186721846258208,8.420637682331433,-8.22464838271284,1.1119960719562234,0.6953620268042593,-4.299106207205627
1.982,10.277999999999999,-5.643000000000001,-6.475,1.5076503144577418,0.27148596514771794,-4.014484172389717,0.28361600344907856,6.236235950300939,6.253689242820882,0.040000000000000036,17.578000000000003,6.2195,-2.795,1.3760088556260694,0.49157198382420286,-3.84431457032027,0.029234264970905144,6.2567435690118725,0.04961098398793883,7.019915500000001,8.937868875000001,-7.393915625000001,7.0801413909876665,8.342033939053774,-8.007294772065745,1.357333336701141,1.0306154592319638,-4.623745070301199
2.021,6.208,-6.893000000000001,-9.475,1.3320701917071123,-0.029583330821303884,-3.6764138962784156,0.43092179231739997,6.227509304040967,6.205692688391038,0.038999999999999924,13.662999999999998,-0.6604999999999999,-4.91,1.4774561183982398,0.36337755026521945,-4.161222729251141,0.18875735860318676,6.244438997785313,6.281527244390192,7.629115,9.046269375000001,-7.544163125000001,8.891902408958936,7.467154898798168,-7.882160351819955,1.6687881908000992,1.338894641570076,-4.9335894452169695
2.061,2.528,-7.982999999999999,-9.924999999999999,0.796603177195252,-0.23797564350942685,-2.7229405259139137,0.553094839957003,6.221051585808588,6.17741835450873,0.040000000000000036,8.847999999999999,-5.2255,-7.42,1.2982980706810219,0.12801990063378405,-3.8317918329372107,0.3450079598879791,6.233792489348147,6.235712351525341,8.079335,8.928549375000001,-7.790763125000001,10.225307943716139,6.057712037345292,-8.027318380547472,2.051132397853601,1.6093919802929455,-5.251779019864318
2.101,1.358,-9.043,-10.895,0.5194448919785524,-0.18666296350079356,-2.3258781210852035,0.6480407512654947,6.221051585808588,6.15874333151239,0.040000000000000036,5.092999999999999,-7.390499999999999,-9.192499999999999,1.0389421438346647,-0.045683993170951585,-3.1849291789168124,0.47891834674724404,6.2264621064897705,6.19888590430826,8.358155,8.676229375,-8.123013125000002,10.93711010747959,4.572182205270885,-8.402013197992025,2.474380758877516,1.8219898651452693,-5.580365651435108
2.141,-0.892,-9.823,-10.764999999999999,0.3100053817392328,0.46451938041829083,-2.2714238484229803,0.7384488065188008,6.199234970158659,6.150016685252419,0.040000000000000036,2.3005000000000004,-8.4355,-10.264999999999999,0.7395309106550374,0.0025743606466916286,-2.7491640979251284,0.5926265475146746,6.217211861454201,6.1729677649161445,8.506025,8.359709375,-8.512163125000002,11.138117154235813,3.189242628207752,-8.970239735850882,2.9158853041118244,1.9772183618148422,-5.927810710111967
2.181,-3.7619999999999996,-10.793,-12.514999999999999,0.1736951671584757,0.4177445564648428,-1.5099366957778544,0.8007570608149984,6.17410222892994,6.148969487701223,0.040000000000000036,-0.19199999999999984,-9.410499999999999,-11.025,0.4499371545178782,0.11440633246822832,-2.207544797799988,0.6850853646390742,6.203860092676444,6.15878696474369,8.548195,8.002789374999999,-8.937963125000003,10.938100083135442,2.0025965795547354,-9.661833877342637,3.35740964885925,2.081055145970092,-6.300452182375837
2.22,-6.172,-12.253,-13.995,0.30668925616044357,0.39802233591730685,-0.11367329418239068,0.8182103533349417,6.155601738858801,6.140242841441251,0.039000000000000146,-2.367,-10.478,-12.042499999999999,0.3274586742591761,0.2734058273249117,-1.5552279898671073,0.751364242983559,6.1874976309389975,6.149493086476821,8.4982945,7.614963624999998,-9.387779375000004,10.459336365165797,1.1564657340037345,-10.373232467214564,3.7746596596011255,2.1426568610844825,-6.691135976094704
2.265,-5.412,-12.843,-12.895,-0.01514945790731078,0.1297652298857784,0.8048934911422251,0.801804258366195,6.150016685252419,6.131516195181279,0.04499999999999993,-4.0595,-11.428,-12.5425,0.19381008678771033,0.3525128756715547,-0.7725350868102502,0.789805119758734,6.169738905799955,6.142686302394043,8.35369825,7.1220786249999986,-9.940941875000004,9.7434179925324,0.6465200304206637,-11.134559777015177,4.229221632649335,2.1832240407840313,-7.1750613015898725
