time,[raw] acc (e_r),[raw] acc (e_theta),[raw] acc (e_phi),[raw] w (e_r),[raw] w (e_theta),[raw] w (e_phi),[raw] euler (alpha),[raw] euler (beta),[raw] euler (gamma),delta time,acc (e_r),acc (e_theta),acc (e_phi),w (e_r),w (e_theta),w (e_phi),euler (alpha),euler (beta),euler (gamma),vel (e_r),vel (e_theta),vel (e_phi),acc (x),acc (y),acc (z),vel (x),vel (y),vel (z),pos (x),pos (y),pos (z)
1.731,0.019,-0.88,0.063,-0.008517206749732328,-0.007766715171374766,0.01181587903600161,6.278821984049601,6.253689242820882,4.585852609615101,0.038000000000000034,0.04170504593009647,-0.8400493411307052,0.11178905823717289,-0.004611014633423061,-0.005023968379100993,0.009553154661207498,6.279607382212998,6.252903844657485,4.585852609615101,0.0479678479609293,-0.6679479888909658,0.12716905183864205,0.04807452752544,-0.003507741297273201,-0.8471101082420835,0.05321623645488703,-0.10532215453749975,-0.6351766440174671,0.02105924717920692,-0.06597130249098358,-0.2396644798301454
1.767,0.009000000000000001,-0.78,0.103,-0.01619665545850738,-0.013177235852557189,0.004136430327226561,6.278821984049601,6.253689242820882,4.585852609615101,0.03599999999999981,0.037045909838699265,-0.8380002418822913,0.12481195659597426,-0.0027022799778859416,-0.004622644429112692,0.008924501922251114,6.279345582825199,6.253165644045284,4.585852609615101,0.04925358634068871,-0.6981891193676626,0.13114843540772309,0.043991428045918525,-0.016823410078017187,-0.8467446819860747,0.05474511903337069,-0.10244832204442361,-0.6657059467358772,0.022998058821327428,-0.07040883620105767,-0.26308326418474315
1.804,0.079,-0.87,0.18300000000000002,0.0056199601914217415,-0.008813912722571364,0.012863076587198208,6.278821984049601,6.253689242820882,4.585852609615101,0.037000000000000144,0.0569803550614063,-0.8666451615608753,0.17035929637950892,0.0002201747896180071,-0.00284917572539341,0.00666156367363026,6.2790837834374,6.2534274434330825,4.585852609615101,0.05097640168998026,-0.7295041772010546,0.13669541724319542,0.0655764115217748,-0.05779642243558854,-0.8807395725118152,0.056745623539967996,-0.10690473446392185,-0.6974181113227926,0.025062553464675244,-0.07353970879459508,-0.2882961510754759
1.843,0.069,-0.93,0.233,0.024120450262561637,0.005323254218582705,0.01932079481957723,6.278821984049601,6.254736440372079,4.584805412063904,0.038999999999999924,0.07271078371729972,-0.9070003907867268,0.20260518388578241,0.0034193431879615383,-0.0002482188805278511,0.0026789222110049867,6.278821984049601,6.253951042208682,4.585590810227302,0.05355470931440521,-0.7642483086248582,0.1439793884829503,0.08255702542128472,-0.08401290510783681,-0.9247224431267912,0.059696413344359024,-0.1066990172110061,-0.7328205145119406,0.027326049624619268,-0.07847745998682973,-0.31617849293382205
1.879,0.089,-0.93,0.203,-0.01619665545850738,0.004276056667386108,-0.00895353906273091,6.277774786498404,6.254736440372079,4.585852609615101,0.03600000000000003,0.07606834950835864,-0.9238986934823592,0.1981942667743108,0.006721696598320451,0.0018639256610606166,-0.0022313089817902385,6.278560184661801,6.25421284159648,4.585590810227302,0.05625642680643249,-0.7971795894247652,0.15140618502116798,0.08604832181106506,-0.07742271237782733,-0.9408812714254133,0.06274881969725513,-0.11277727553215953,-0.7663653706937912,0.02953503778451871,-0.08161455106606275,-0.3431654869954602
1.915,0.069,-0.93,0.18300000000000002,0.00788888821901437,0.008639379797371931,-0.016632987771505958,6.277774786498404,6.254736440372079,4.585852609615101,0.03600000000000003,0.0676502508356456,-0.9146732971979146,0.16413254925937934,0.010544667205702192,0.0020389060488278377,-0.0061090368191031395,6.278298385274002,6.254474640984279,4.585590810227302,0.05889032250544178,-0.8304555301678271,0.15789356608585922,0.07680134762726287,-0.0450689022411582,-0.9274770281925186,0.06573903326787273,-0.11196428909332976,-0.8002092091961921,0.03184321832943429,-0.08651472888802542,-0.37136038741162164
1.953,0.049,-0.9,0.113,0.024120450262561637,0.014049900478554353,-0.017680185322702557,6.278821984049601,6.253689242820882,4.584805412063904,0.038000000000000034,0.053612424564819454,-0.8727521853341936,0.10722307253077787,0.015166332279289643,-0.000537797268909498,-0.006622943387479539,6.278298385274002,6.254474640984279,4.585329010839502,0.06117835516486889,-0.864428633203932,0.16320992481255697,0.060931009740343364,0.005892383525895453,-0.8788174715062711,0.06833379358133813,-0.11582763361430756,-0.83452308483054,0.034398582157640425,-0.08995953394624974,-0.4024322288166288
1.99,0.049,-0.8099999999999999,0.023,0.018709929581379212,-0.002181661564992912,-0.02204350845268838,6.278821984049601,6.252642045269686,4.583758214512708,0.03699999999999992,0.04083249877266627,-0.7976207111300488,0.04983206969551368,0.020354270814634236,-0.005548320333738884,-0.0024925708470336537,6.278298385274002,6.253951042208682,4.585067211451703,0.06293591335229413,-0.8955359866328639,0.16596738652425158,0.04616738956158436,0.053143066116771956,-0.7971158721381355,0.07033290118515419,-0.1116014695178771,-0.8657511023504377,0.03695927827539676,-0.09510083947250808,-0.43388920808247233
2.03,-0.001,-0.64,0.002999999999999999,0.01434660645139339,-0.02399827721492203,0.0008203047484373349,6.279869181600797,6.252642045269686,4.583758214512708,0.039999999999999813,0.04124399292383781,-0.7512242387862891,0.026528183361493665,0.025477369578338092,-0.011654765994909453,0.005449317189540437,6.278821984049601,6.2534274434330825,4.584543612676105,0.06447884549186551,-0.926091359868743,0.16740229785183527,0.045291018484503925,0.07076909599564361,-0.7481197277851973,0.07205069662190217,-0.1120496692618911,-0.8961885543758954,0.039814338906701115,-0.09860886866559225,-0.469146708172905
2.065,0.099,-0.7999999999999999,0.023,0.04174827570770436,-0.01754055898254301,0.021589722847169857,6.279869181600797,6.252642045269686,4.582536484036312,0.03500000000000014,0.061136106631125675,-0.7930474646696942,0.05399827140455048,0.029575788392119766,-0.017104461150850625,0.014296294176561579,6.279345582825199,6.252903844657485,4.5837145812814075,0.06623655597480206,-0.9529783609257776,0.16857903354982565,0.06578620532385815,0.0501324869303812,-0.7929291437518136,0.07396164282732794,-0.1067627598890747,-0.9230291910996473,0.04235939844733971,-0.10344161640068382,-0.5009629012421681
