time,[raw] acc (e_r),[raw] acc (e_theta),[raw] acc (e_phi),[raw] w (e_r),[raw] w (e_theta),[raw] w (e_phi),[raw] euler (alpha),[raw] euler (beta),[raw] euler (gamma),delta time,acc (e_r),acc (e_theta),acc (e_phi),w (e_r),w (e_theta),w (e_phi),euler (alpha),euler (beta),euler (gamma),vel (e_r),vel (e_theta),vel (e_phi),acc (x),acc (y),acc (z),vel (x),vel (y),vel (z),pos (x),pos (y),pos (z)
3.025,0.849,11.49,-8.957,0.6962467452055779,0.11876965559821412,-2.0073555325962382,0.08831366015091306,0.05777039824101231,-0.016406094968746697,0.041999999999999815,-0.3106281166265581,10.543905127027955,-8.054825798339275,0.5883499508737232,0.05203283675601292,-0.8258257924119008,-0.014704398948052196,0.06051929181290337,0.04066617157146788,1.0711081383470045,22.006248621123742,-16.615088080450555,0.02239654945091124,10.20147122061449,-8.490001597511293,-0.9665968204993352,20.36232500193862,-18.106891699521597,2.011689349786632,20.949518992039188,-18.24778306387092
3.068,3.789,10.39,-7.197,-0.6160663193689585,0.311803070868787,-0.5445950864997907,0.13962634015954636,0.04153883619746504,0.0,0.04300000000000015,4.494899442982284,9.737952571932603,-8.524504866414862,0.5448107743146899,-0.03195293177373565,-0.38179363237258857,0.04638212487174927,0.054803338512621945,0.01884955592153876,1.1601048716473013,22.42799971485447,-16.962576129877643,5.401088968429691,9.362050014196228,-8.418983430323244,-0.8510836240933766,20.7745716547984,-18.45994394954938,1.9794331970738104,21.842745283843477,-19.039492301554642
3.109,9.699,6.8100000000000005,-10.147,1.436789946826772,-0.7582582935289365,1.1843280705257921,0.11571532940722405,0.06440264939859076,-0.02844886680750757,0.040999999999999925,8.902728490821499,8.87430836901938,-9.340724972972641,0.4581891554467332,-0.07608059847765483,0.03229460553679592,0.0889245253891111,0.05646140130201656,-0.004101523742186674,1.4369725069406543,22.82454356620869,-17.335134807626098,10.167379995564998,8.084563927040946,-8.747872699452131,-0.528236399021428,21.144023324179063,-18.819506648859377,1.9428053028370216,22.693463133135477,-19.798034052420466
3.15,14.679,10.41,-10.667,1.5415097019464319,-0.2498438824229883,1.9784528801832122,0.04258603374866164,0.08395033702092725,-0.08290313946973066,0.040999999999999925,11.162156900324678,8.894168944006486,-9.376648138751353,0.3039215435729859,-0.06128404319295919,0.2255392578094037,0.09656034086658628,0.06191555521449884,-0.03193952531149623,1.8607671325040704,23.167767566412028,-17.717851519470752,12.52490754761959,8.047836684690486,-8.365436857096965,-0.05027823194981795,21.454462934361423,-19.167548067714172,1.9382376618947155,23.575748698283782,-20.582534389261554
3.189,9.539,7.6000000000000005,-7.9670000000000005,-0.7438244206149434,0.08072147790473774,0.25720917186640435,0.019547687622336492,0.08517206749732328,-0.07644542123735164,0.039000000000000146,10.127589313563226,9.215034388481822,-7.9986905756954565,0.12464773807297802,0.004297484570043895,0.14372207494537237,0.07936884773444214,0.06876597252857658,-0.04694935687864747,2.285262962057278,23.539858167366194,-18.06733374421992,11.350343016606951,8.713411672439964,-6.834482090310189,0.4259314134740543,21.796783082317553,-19.474723557205447,1.9381232501257635,24.409809264721364,-21.330456615854185
3.228,7.669,11.05,-5.107,-1.2400215269569312,0.3597996252986311,-0.5543689303109589,0.04258603374866164,0.06771877497737998,-0.017453292519943295,0.039000000000000146,8.066921709379795,9.8324014313682,-6.736745862089418,0.02249805270840044,0.08540295522165356,-0.10537860180345951,0.055108771131720954,0.07531095722355531,-0.051312680008633295,2.637379798735519,23.890394769492957,-18.34325755141785,9.078757605022338,9.672180606240973,-5.5821296341735405,0.8207872518980918,22.137920566110413,-19.70425950079682,1.970402712654694,25.275882404070433,-22.100553512626885
3.27,6.518999999999999,9.74,-7.267,-0.12423253615695638,0.08386307055832753,-1.1346909065990736,0.08395033702092725,0.060039326268604934,0.0,0.041999999999999815,6.546685352920053,10.308373415545201,-6.676955914736286,0.06080378120978483,0.14472675089916645,-0.3577344545954464,0.047167523035146756,0.07422012644105885,-0.0442004633067564,2.9423735761099414,24.335473934928334,-18.62787111275274,7.50121268497784,10.249674327762023,-5.6902878926582,1.1668001680053512,22.57663500966507,-19.944046727826134,2.0046913359916334,26.205075423759908,-22.927109615391746
3.314,4.7589999999999995,10.74,-6.557,0.7398799765054362,0.2540326726277747,-0.5597794509921413,0.11571532940722405,0.053407075111026485,-0.018500490071139894,0.04400000000000004,5.610420105122657,10.703685177731362,-7.116680189970994,0.19819600860432302,0.16074054228446905,-0.5132904067957237,0.06544984694978737,0.06658431096358366,-0.028099800957108706,3.2071173790092358,24.77634117475092,-18.92488114195838,6.758014588535373,10.49749081104769,-6.389425057028882,1.4762895721151517,23.015222803124917,-20.202624277975442,2.0706618280131157,27.21805638619334,-23.816342990674226
3.354,6.459,12.110000000000001,-8.177,0.6711140039768596,0.30098202950642217,-0.3929259745014834,0.12985249634837812,0.03595378259108319,-0.04468042885105484,0.040000000000000036,4.723393620009873,10.58523146947579,-7.579600246688564,0.33661639488500156,0.12618534675185009,-0.5605089587236856,0.09302604913129778,0.05427973973702365,-0.020158552860534508,3.416771655012366,25.22705348440218,-19.224789252494087,6.0890953405392745,10.244985588461875,-7.05486361863667,1.7373956727541482,23.451457838425586,-20.478465227255157,2.12726284965459,28.13715226891253,-24.62365646630033
3.393,1.8690000000000002,8.5,-7.7170000000000005,0.5259026102109314,0.24216443371421323,-0.6721786548205761,0.15062191444711065,0.025132741228718343,-0.06649704450098395,0.0389999999999997,3.362289613472611,9.53678198263917,-7.770726531450148,0.41220664709070787,0.04378380724962393,-0.5180111427684646,0.12003501930591003,0.04363323129985824,-0.03241949085579467,3.57477495186191,25.600722471149464,-19.51987404005677,4.814787128765948,9.306076747756556,-7.270086197932915,1.9500075504126648,23.815939115321775,-20.75373895927306,2.2071198522430024,29.06951015220625,-25.433950543326816
